Latitude,Longitude,Begining Date,Ending Date,Period of search,First baseline year,Last baseline year,Day of search
45.64,-111.04,1/1/2022,25-6-2022,Year-to-date,1910,1945,7/4/2022
,,,,,,,
,,,,,,,
45.64,-111.04,1/6/2022,25-6-2022,Last month,1910,1945,7/4/2022
45.64,-111.04,1-6-2022,25-6-2022,Last month,1910,1945,2022-07-04
45.64,-111.04,1-1-2022,26-6-2022,Year-to-date,1910,1945,2022-07-05
45.64,-111.04,1-1-2021,12-31-2021,Last year,1910,1945,2022-07-06
45.64,-111.04,1-6-2022,27-6-2022,Last month,1910,1945,2022-07-06
40.7,-74.0,1-1-2022,27-6-2022,Year-to-date,1910,1945,2022-07-06
45.64,-111.04,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
71.3,-156.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
71.3,-156.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
71.9,-179.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
17.1,-179.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
17.1,-179.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
17.1,-100.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
17.1,-66.0,1-1-2012,12-31-2021,Last 10 years,1910,1945,2022-07-06
45.64,-111.04,1-6-2022,27-6-2022,Last month,1910,1945,2022-07-06
71.2,-66.0,1-6-2022,27-6-2022,Last month,1910,1945,2022-07-06
71.2,-66.0,1-6-2022,27-6-2022,Last month,1910,1945,2022-07-06
45.6,-111.04,1-6-2022,27-6-2022,Last month,1910,1945,2022-07-06
